,geo,id,created_at,text,author_id,lang,public_metrics,description,name,id,verified,protected,location,username,country_code,country,name,geo,full_name,place_type,id
0,{'place_id': '011add077f4d2da3'},1512127007127224325,2022-04-07T17:55:47.000Z,"🩺All New Yorkers deserve access to affordable, quality health coverage, regardless of immigration status.

💒All home care workers deserve the same care &amp; dignity they give older adults and people w/ disabilities.

@GovKathyHochul we need #CoverageForAll &amp; #FairPay4HomeCare NOW! https://t.co/9XU6xpmXwk",1478129186636242945,en,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 15, 'quote_count': 0}",Official government account for @crystalrhudson. Representing #CrownHeights #ProspectHeights #FortGreene #ClintonHill #BedStuy in Brooklyn. DMs open. -CM Staff,Council Member Crystal Hudson,1478129186636242945,True,False,"Brooklyn, NY",CMCrystalHudson,US,United States,Brooklyn,"{'type': 'Feature', 'bbox': [-74.041878, 40.570842, -73.855673, 40.739434], 'properties': {}}","Brooklyn, NY",city,011add077f4d2da3
1,{'place_id': '06e0c7e86402e09d'},1508710707386195968,2022-03-29T07:40:37.000Z,"@Chloe09161806 @emreyamangil @davidmweissman Expecting that everyone with a health impairment should be treated with dignity &amp; calling out those that mock us with impunity, doesn’t take anything away from your daughter, &amp; you would be aware of that if you paid attention to the work of disability advocates. Talia Lewis, a",1039892963185254401,en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Committed to Anti-Racism. Proud Mother. Dog lady. Avid reader. Uterine cancer survivor. Living w/ CRPS. The Southern Strategy is now the Republican Strategy.,Tracy Randolph,1039892963185254401,False,False,"California, USA",litlove71,US,United States,Frazier Park,"{'type': 'Feature', 'bbox': [-119.007711, 34.809587, -118.883812, 34.833817], 'properties': {}}","Frazier Park, CA",city,06e0c7e86402e09d
2,{'place_id': '20dc6048f416c894'},1508502336116862976,2022-03-28T17:52:38.000Z,"I know what a lot of folks want to talk about from last night's Oscar, but having far too many family members with disabilities, this is all I want to talk about... dignity-building... caring... understanding... thank you, @ladygaga and happy birthday! https://t.co/lwBVHpbu3O",898162058,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","Mild-mannered citizen by day, Emmy Award-winning Sr. Digital Content Editor for @FOX5Atlanta by night. My opinions are my own... And they are usually awesome!",Travis Maurer,898162058,False,False,Atlanta,TravisMFOX5,US,United States,Granger,"{'type': 'Feature', 'bbox': [-86.217544, 41.709039, -86.023537, 41.760686], 'properties': {}}","Granger, IN",city,20dc6048f416c894
3,{'place_id': '07d9ec6d76486001'},1507786885669998596,2022-03-26T18:29:41.000Z,".@pastorL (diagnosed with Asperger’s at 36) @biologosorg #faithandscience22 “For churches, faith communities, and faith based organizations this means including disability in our discussion about diversity, dignity, and justice (the largest global minority).” @GFMediaOrg https://t.co/rQvfDZUROx",20158794,en,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}","Randall holds Bachelor of Arts, Masters of Divinity with Biblical Languages, and Doctor of Ministry degrees.",Mitch Randall,20158794,False,False,"Norman, OK",rmitchrandall,US,United States,Liberty Station Conference Center,"{'type': 'Feature', 'bbox': [-117.2172901342083, 32.72929265502216, -117.2172901342083, 32.72929265502216], 'properties': {}}",Liberty Station Conference Center,poi,07d9ec6d76486001
4,{'place_id': 'e4a0d228eb6be76b'},1506993588655300618,2022-03-24T13:57:24.000Z,"Disability rights are about dignity, access, and equal opportunity to every facet of life. 

I’m so grateful to these Pennsylvania #Disability champions support my campaign, because they know I’ll always support their community. ♿️ #LovitzForPA #ADA https://t.co/5QnTj0mVTE",1157640514663002115,en,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 8, 'quote_count': 1}","Jonathan is the most experienced, most endorsed candidate ready to help Philadelphia succeed. Join us today and ""Let's Make a Difference!""",Jonathan Lovitz for PA House District 182,1157640514663002115,False,False,Philadelphia,LovitzForPA,US,United States,Philadelphia,"{'type': 'Feature', 'bbox': [-75.280284, 39.871811, -74.955712, 40.13792], 'properties': {}}","Philadelphia, PA",city,e4a0d228eb6be76b
5,{'place_id': 'f7eb2fa2fea288b1'},1506786972370579458,2022-03-24T00:16:23.000Z,"Thanks ⁦@BayaudEnt⁩ for all you do in our community on behalf of individuals living with mental or physical disabilities, who are homeless, or in poverty. Your team’s work to build pathways to employment &amp; treat people with dignity and respect is model for us all. https://t.co/Hxwlj4BkVF",2561827117,en,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}","@JeffcoColorado Commissioner | former journalist, school board president, & nonprofit leader | 📚, 🥾, & DU🏒 | proud @usfca mom 🚃",Lesley Dahlkemper,2561827117,False,False,"Colorado, USA",LDahlkemper,US,United States,Lakewood,"{'type': 'Feature', 'bbox': [-105.193475, 39.60973, -105.053164, 39.761974], 'properties': {}}","Lakewood, CO",city,f7eb2fa2fea288b1
6,{'place_id': '67b98f17fdcf20be'},1503524270642708482,2022-03-15T00:11:34.000Z,"Public protests at people’s homes must have reasonable limits.These demonstrations are hurting our neighbors, seniors, persons with disabilities, veterans &amp; young children.  Now is the time to come together as a city and country and treat each other w/ respect &amp; dignity! #bospoli https://t.co/s3ieyqwvIs",4885523950,en,"{'retweet_count': 1, 'reply_count': 5, 'like_count': 7, 'quote_count': 1}","Boston City Council President, District 2 
波士頓市議會議長 （第2區）
Consejal de Boston Distrito 2
@USNavy (retired), Proud @BostonSchools dad and husband.",Ed Flynn 愛德華費連,4885523950,False,False,"Boston, MA",EdforBoston,US,United States,Boston,"{'type': 'Feature', 'bbox': [-71.191421, 42.227797, -70.986004, 42.399542], 'properties': {}}","Boston, MA",city,67b98f17fdcf20be
7,{'place_id': '3846ebded61e1cc3'},1498829639736832001,2022-03-02T01:16:47.000Z,"Public protests at people’s homes must have reasonable limits. These demonstrations are hurting our neighbors, seniors, persons with disabilities, veterans &amp; young children.  Now is the time to come together as a city and country and treat each other with respect and dignity! https://t.co/RUTCoi3kl6",4885523950,en,"{'retweet_count': 1, 'reply_count': 11, 'like_count': 12, 'quote_count': 1}","Psychotherapist - Media Contributor. Expert on relationships-Gotttman trained, adolescences, and life transition.",Fran Sherman,35252155,False,False,Palm Beach -  NewYork City,Fran_Sherman,US,United States,Braintree,"{'type': 'Feature', 'bbox': [-71.0495561, 42.168248, -70.961164, 42.23848], 'properties': {}}","Braintree, MA",city,3846ebded61e1cc3
8,{'place_id': 'fa8f8f24dc772cc0'},1498450356380094465,2022-03-01T00:09:39.000Z,"Thank you to
@AmericanAir for
treating me with
respect and dignity
with regards to my
disability. Staff couldn't
have been kinder. Too
bad #DeltaAirlines
doesn't know how to
treat passengers with
disabilities and show
the same level of care &amp;
kindness. @Delta flight
attendants",35252155,en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","""Have courage, be KIND."" 🌸🍃🏃🏼‍♀️🩺💚",Katie Anne,551830066,False,False,USA,KatieAnneOD,US,United States,Pompano Beach,"{'type': 'Feature', 'bbox': [-80.1955611, 26.206136, -80.0817297, 26.2976539], 'properties': {}}","Pompano Beach, FL",city,fa8f8f24dc772cc0
9,{'place_id': '67b98f17fdcf20be'},1498386764410597379,2022-02-28T19:56:57.000Z,"Public protests at people’s homes must have reasonable limits. These demonstrations are hurting our neighbors, seniors, persons w/disabilities, veterans &amp; young children.  Now is the  time to come together as a city &amp; country to treat each other with empathy, respect &amp; dignity! https://t.co/yG6zekT84K",4885523950,en,"{'retweet_count': 1, 'reply_count': 11, 'like_count': 22, 'quote_count': 1}","All 14 members of AD51 People’s Action won election into the CA Democratic Party. 

Fighting for environmental, racial, and social justice for all ✊🏿✊🏽✊🏻",AD51 People's Action,1340870928117374977,False,False,"Chumash, Kizh, and Tongva Land",AD51PeoplesAxn,US,United States,Dutton Farm,"{'type': 'Feature', 'bbox': [-83.179029, 42.711683, -83.179029, 42.711683], 'properties': {}}",Dutton Farm,poi,0e5b34f0ae546000
