,public_metrics,geo,author_id,text,id,created_at,lang,description,username,name,verified,id,location,protected,full_name,id,place_type,country,geo,name,country_code
0,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",{'place_id': 'a592bd6ceb1319f7'},14495280,"I love this. They are making the community cleaner, while upholding the dignity of those who are housing insecure. 
“Homeless people paid $2 per bag to keep their encampments clean in downtown San Diego” https://t.co/BAi0utWV32",1503016817916203011,2022-03-13T14:35:08.000Z,en,"Husband, dad, pastor of @citylifesd, 
Great Commission Baptist, @padres @goaztecs @sendnetwork
FIERCE advocate for the Mt Hope community of San Diego. #YIMBY",dalehuntington,Dale Huntington,False,14495280,"San Diego, CA",False,"San Diego, CA",a592bd6ceb1319f7,city,United States,"{'type': 'Feature', 'bbox': [-117.282538, 32.53962, -116.9274403, 33.0804044], 'properties': {}}",San Diego,US
1,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '3af2a75dbeb10500'},15159040,"I can’t imagine Memorial Stadium being in this condition. #LNK #Huskers would not allow it! #dignity #homelessness 

https://t.co/zLrPJjqN9S",1501607483864977409,2022-03-09T17:14:57.000Z,en,"Photo & video guy, husband, father, advocate for the homeless, UU, #LNK https://t.co/YsMokVpffg #Kindnessmatters He/Him/His 🖖https://t.co/hh0WXyRVwF",avdude,𝔸𝕍𝔻𝕦𝕕𝕖,False,15159040,"iPhone: 40.808838,-96.637177",False,"Lincoln, NE",3af2a75dbeb10500,city,United States,"{'type': 'Feature', 'bbox': [-96.806031, 40.710053, -96.5870939, 40.896417], 'properties': {}}",Lincoln,US
2,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",{'place_id': '71ce5137b842ec75'},1249667050622066691,"Established in 1983 as a non-profit organization, The St. Patrick’s Center provides opportunities for self-sufficiency and dignity to the unhoused or those at risk of homelessness in the St. Louis area.

📸 5 March 22’

Follow for more! https://t.co/7gvcoFF7Zc",1500577019087802368,2022-03-06T21:00:15.000Z,en,Aerial Photography - Drone Pilot - FAA Part 107 - Licensed & Insured stlaerialsolutions@gmail.com,stlaerials,STL Aerials - Brad Henderson,False,1249667050622066691,"St Louis, MO",False,"St Peters, MO",71ce5137b842ec75,city,United States,"{'type': 'Feature', 'bbox': [-90.67755, 38.700023, -90.523651, 38.815652], 'properties': {}}",St Peters,US
3,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 8, 'quote_count': 0}",{'place_id': 'fbd6d2f5a4e4a15e'},3329886177,"We are very thankful for the amazing agency volunteers who shared their support, passion, time &amp; talent with us this year. Thank you for wanting to be here, for your commitment, &amp; for treating those who are experiencing homelessness with kindness, dignity, &amp; compassion. https://t.co/ka81X6acht",1497444637698449408,2022-02-26T05:33:17.000Z,en,The Fresno Madera Continuum of Care is dedicated to creating solutions to end homelessness in our community. 📧info@fresnomaderahomeless.org 📞 (559) 785-0311,FresnoMaderaCoC,FMCoC,False,3329886177,"Fresno, CA",False,"California, USA",fbd6d2f5a4e4a15e,admin,United States,"{'type': 'Feature', 'bbox': [-124.482003, 32.528832, -114.131212, 42.009519], 'properties': {}}",California,US
4,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",{'place_id': '8eccead85cc1b6c0'},1306850372103749633,Hey @TheCityofSac and @SacCountyCA  let's get on the same page as @visitfolsom  they have public restrooms! The businesses are hiring the unhoused! Let's do this ! Together we can end homelessness and bring dignity to our community https://t.co/qYdk1TBTtF,1495882340370944002,2022-02-21T22:05:16.000Z,en,Sacramento Homeless Union fights with and for the human rights of our unhoused community with them at the forefront! https://t.co/oUPrpBcY6J,shomelessunion,Sacramento Homeless Union,False,1306850372103749633,,False,"Folsom, CA",8eccead85cc1b6c0,city,United States,"{'type': 'Feature', 'bbox': [-121.260264, 38.621443, -121.085432, 38.7143308], 'properties': {}}",Folsom,US
5,"{'retweet_count': 2, 'reply_count': 2, 'like_count': 15, 'quote_count': 0}",{'place_id': 'df4875cc2df893ed'},700438088410005504,"Just saw this tonight: First, THANK YOU for supporting #HealthThroughHousing. This is an important @KingCountyWA initiative to house about 1600 of our residents experiencing chronic homelessness providing stability, safety, dignity, privacy and supportive services. 1/ https://t.co/9A31DRhJ3G",1492364944876072962,2022-02-12T05:08:24.000Z,en,"Chair @KCCouncil, @SoundTransit boardmember, @SoundRegion president, bus rider, bike rider, wife and mom. For personal/political stuff, go to @BlvuClaudia",KccClaudia,Claudia Balducci,False,700438088410005504,"Bellevue, WA",False,"Bellevue, WA",df4875cc2df893ed,city,United States,"{'type': 'Feature', 'bbox': [-122.2232093, 47.5349648, -122.076327, 47.660748], 'properties': {}}",Bellevue,US
6,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 1}",{'place_id': 'ac88a4f17a51c7fc'},1554296017,"@garp0813 @thecasualroadie @JoAnnPDX Clint, the contempt in your words for our neighbors who live out doors. They are not a problem. They are human beings. We have to address issues of homelessness with dignity and respect. Homelessnrss is a multifaceted issue and won't be solved through just one approach.",1489724320007933955,2022-02-04T22:15:30.000Z,en,"Lover of Jesus. As a lover of Jesus, I must say that Black Lives Matter, and that I am committed to being Anti-racist.

(He/him) #wtc",JoeyUtley,Joey Utley,False,1554296017,"Portland, OR",False,"Portland, OR",ac88a4f17a51c7fc,city,United States,"{'type': 'Feature', 'bbox': [-122.7900653, 45.421863, -122.471751, 45.6509405], 'properties': {}}",Portland,US
7,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",{'place_id': 'a592bd6ceb1319f7'},1444702104854036490,"1. Homelessness is a violation of human rights.  2.Everyone has the right to a home &amp; to exist in peace, security and dignity. 
3. Lack of jurisdictional coordination across all levels of govt are major barrier to implementation of rights. #righttohousing #endhomelessnss https://t.co/9apXaIquk2",1487861680260349952,2022-01-30T18:54:02.000Z,en,"I am a Homeless Survival Advocate in San Diego County California. and I am HomeFree by Survival, Homeless Survival tips on Reddit r/HomelessSurvival",HomelessCamping,Homeless Survival: Rights2Survive,False,1444702104854036490,"San Diego, California",False,St Elizabeths Campus,07d9dbd84cc80002,poi,United States,"{'type': 'Feature', 'bbox': [-76.99620120928559, 38.851595691086324, -76.99620120928559, 38.851595691086324], 'properties': {}}",St Elizabeths Campus,US
8,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 7, 'quote_count': 0}",{'place_id': '07d9dbd84cc80002'},385143641,"“when we treat all people with dignity and meet them where they’re at, we can achieve what we set out to do: make homelessness rare, brief, and non-recurring.” @MayorBowser #HomewardDC",1485668869142417413,2022-01-24T17:40:35.000Z,en,Team @MayorBowser | #Ward8 resident | Alum of @DCCC @SenatorTomUdall @BarackObama | Views expressed are my own 🏳️‍🌈🇲🇽🇺🇸,TalamanteDC,Tomás Arturo Talamante,False,385143641,"Washington, DC",False,"Manhattan, NY",01a9a39529b27f36,city,United States,"{'type': 'Feature', 'bbox': [-74.026675, 40.683935, -73.910408, 40.877483], 'properties': {}}",Manhattan,US
9,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",{'place_id': 'a592bd6ceb1319f7'},739934416890265604,"Welcome @ThinkDignity to the San Diego County COVID-19 Small Business &amp; Nonprofit Loan Program! This nonprofit works to advance basic dignity for people experiencing homelessness through advocacy and innovation. 
https://t.co/ykPHCZJbpm https://t.co/h9nQ7hwCk7",1479585444404756483,2022-01-07T22:47:13.000Z,en,We empower community through new models of investing in social change. Sign up for updates: https://t.co/XL9p5ARvJZ Certified #BCorp #ImpInv #SocFin #IA50 💛,MDFinanceSD,Mission Driven Finance,False,739934416890265604,"San Diego, CA",False,"Florida, USA",4ec01c9dbc693497,admin,United States,"{'type': 'Feature', 'bbox': [-87.634643, 24.396308, -79.974307, 31.001056], 'properties': {}}",Florida,US
